Date,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,TCS.NS,^NSEI
2017-11-23,429.9708557128906,398.2495422363281,180.73983764648438,1078.7491455078125,418.3193359375,1098.375732421875,10348.75
2017-11-24,431.9657897949219,405.6018371582031,182.56019592285156,1081.0111083984375,420.13037109375,1101.1612548828125,10389.7001953125
2017-11-27,433.4006652832031,401.2628173828125,181.50994873046875,1086.555908203125,420.2407531738281,1100.260009765625,10399.5498046875
2017-11-28,435.2204895019531,395.6179504394531,179.93467712402344,1074.9783935546875,416.70697021484375,1100.0343017578125,10370.25
2017-11-29,437.075439453125,394.814453125,180.66983032226562,1080.4344482421875,417.8775329589844,1088.9127197265625,10361.2998046875
2017-11-30,432.5023498535156,392.162841796875,179.26953125,1079.28125,407.0772399902344,1080.2484130859375,10226.5498046875
2017-12-01,431.2191467285156,385.2122497558594,178.67440795898438,1074.9339599609375,402.0194091796875,1077.3604736328125,10121.7998046875
2017-12-04,427.9293518066406,395.8791198730469,178.6044158935547,1080.1240234375,398.2646179199219,1078.3436279296875,10127.75
2017-12-05,424.7445373535156,395.4773254394531,177.7292022705078,1073.3814697265625,403.609619140625,1079.6544189453125,10118.25
2017-12-06,420.7431640625,397.8679504394531,176.1539306640625,1056.8359375,409.330078125,1078.7325439453125,10044.099609375
2017-12-07,422.2247009277344,401.68463134765625,177.37916564941406,1080.92236328125,411.49456787109375,1072.157958984375,10166.7001953125
2017-12-08,429.39923095703125,402.50830078125,183.5753631591797,1082.6524658203125,406.83428955078125,1065.705810546875,10265.650390625
2017-12-11,430.7991638183594,403.89434814453125,186.41091918945312,1083.983154296875,404.6918640136719,1090.120849609375,10322.25
2017-12-12,424.6162109375,405.98358154296875,183.12026977539062,1067.1715087890625,404.4489440917969,1070.0684814453125,10240.150390625
2017-12-13,424.9544677734375,403.2716064453125,181.33494567871094,1055.0615234375,404.0292663574219,1076.7254638671875,10192.9501953125
2017-12-14,428.8509521484375,407.02813720703125,185.01063537597656,1054.662353515625,407.05517578125,1047.8043212890625,10252.099609375
2017-12-15,437.11041259765625,410.9654541015625,185.2556915283203,1067.7479248046875,406.2821044921875,1042.8067626953125,10333.25
2017-12-18,438.3936462402344,408.4342346191406,184.27549743652344,1080.4788818359375,406.83428955078125,1057.103759765625,10388.75
2017-12-19,439.6885681152344,403.3519592285156,185.01063537597656,1082.253173828125,409.0209045410156,1054.972900390625,10463.2001953125
2017-12-20,435.8738098144531,408.1329345703125,184.3455047607422,1093.4315185546875,405.5753173828125,1060.5648193359375,10444.2001953125
2017-12-21,435.9088134765625,410.62384033203125,184.1704864501953,1116.7640380859375,403.2783508300781,1063.329833984375,10440.2998046875
2017-12-22,437.85699462890625,417.57440185546875,184.20547485351562,1123.28466796875,406.5691833496094,1084.2425537109375,10493.0
2017-12-26,435.9205017089844,416.06787109375,184.9406280517578,1126.433837890625,410.72149658203125,1085.3487548828125,10531.5
2017-12-27,433.2140197753906,415.52545166015625,183.54037475585938,1115.9207763671875,408.0490417480469,1073.2435302734375,10490.75
2017-12-28,438.18365478515625,415.1236877441406,183.33030700683594,1111.3966064453125,408.247802734375,1076.1317138671875,10477.900390625
2017-12-29,436.86541748046875,418.6592712402344,184.31051635742188,1116.276123046875,406.8563537597656,1106.5479736328125,10530.7001953125
2018-01-01,432.68902587890625,415.2442321777344,183.64537048339844,1118.449462890625,401.86480712890625,1083.771484375,
2018-01-02,436.85369873046875,413.6974182128906,182.56019592285156,1108.735107421875,402.4831848144531,1077.8726806640625,10442.2001953125
2018-01-03,432.2574157714844,410.3226318359375,182.84019470214844,1131.402099609375,404.09552001953125,1080.92431640625,10443.2001953125
2018-01-04,433.9489440917969,407.95220947265625,183.12026977539062,1167.243408203125,406.5250244140625,1088.482177734375,10504.7998046875
2018-01-05,434.8122253417969,406.586181640625,184.06546020507812,1166.533935546875,407.82818603515625,1101.6322021484375,10558.849609375
2018-01-08,434.11224365234375,416.2486572265625,185.95582580566406,1187.2489013671875,410.16937255859375,1111.955322265625,10623.599609375
2018-01-09,434.8355407714844,418.37799072265625,189.42149353027344,1182.36962890625,415.6467590332031,1109.743408203125,10637.0
2018-01-10,434.9521789550781,422.7571716308594,188.6163330078125,1174.3853759765625,416.2652587890625,1149.72509765625,10632.2001953125
2018-01-11,436.90045166015625,432.2187805175781,188.89639282226562,1174.2080078125,414.2333068847656,1143.130126953125,10651.2001953125
2018-01-12,435.2088317871094,433.2834167480469,187.3210906982422,1179.1761474609375,419.2027282714844,1137.33349609375,10681.25
2018-01-15,442.7800598144531,434.36822509765625,187.35609436035156,1176.3370361328125,419.26898193359375,1124.9415283203125,10741.5498046875
2018-01-16,443.34002685546875,451.121826171875,183.2252960205078,1176.5589599609375,407.6955871582031,1167.8524169921875,10700.4501953125
2018-01-17,441.0884704589844,462.8734130859375,186.27085876464844,1200.645263671875,408.3803405761719,1183.46044921875,10788.5498046875
2018-01-18,451.3077697753906,463.11456298828125,191.41688537597656,1207.2547607421875,406.260009765625,1195.4423828125,10817.0
2018-01-19,455.4842224121094,459.398193359375,192.22203063964844,1216.7030029296875,411.3841247558594,1212.2789306640625,10894.7001953125
2018-01-22,458.08575439453125,462.02972412109375,191.5919189453125,1241.0113525390625,429.1416931152344,1279.6619873046875,10966.2001953125
2018-01-23,455.2742919921875,472.9176330566406,193.65728759765625,1251.5240478515625,434.33203125,1273.7486572265625,11083.7001953125
